step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
219,1,0.0,4.099108994387167,3.3762700101143173,6.6794881147607565,3.376270055770874
220,1,0.0,4.149913980953569,3.3664211738982797,6.713292088930686,3.3664212226867676
221,1,0.0,4.2003783021902565,3.3566620076889206,6.746798757727594,3.3566620349884033
222,1,0.0,4.250884459428471,3.346992775887617,6.780281973898864,3.3469927310943604
223,1,0.0,4.3020313193332544,3.33741660030091,6.814467345219092,3.337416648864746
224,1,0.0,4.352936032976997,3.327932061341109,6.8483212408261425,3.327932119369507
225,1,0.0,4.40383402237731,3.318539296600509,6.882006844615366,3.3185393810272217
226,1,0.0,4.454658268238901,3.309242753544856,6.915518714114592,3.3092427253723145
227,1,0.0,4.5053671522139815,3.300040005624386,6.948999187466415,3.3000400066375732
228,1,0.0,4.556077914832319,3.290931732763429,6.98251274138411,3.2909317016601562
229,1,0.0,4.606833987788991,3.2819199781267607,7.016120351216097,3.2819199562072754
230,1,0.0,4.657785226080946,3.273006064534328,7.049881343416413,3.273005962371826
231,1,0.0,4.708785409621506,3.264190295165421,7.08337393219721,3.264190196990967
232,1,0.0,4.759942094757991,3.2554716041502787,7.117256391455726,3.2554714679718018
233,1,0.0,4.811527657104275,3.246853403142411,7.151504440592846,3.2468533515930176
234,1,0.0,4.862165472579575,3.2383362139817695,7.184811490469843,3.2383360862731934
235,1,0.0,4.912994816265325,3.229918225261768,7.2182627859389745,3.2299182415008545
236,1,0.0,4.964250872910544,3.2216037359007244,7.252189079555669,3.2216038703918457
237,1,0.0,5.01554726757914,3.2133898738784983,7.28606492190814,3.2133898735046387
238,1,0.0,5.066796520932448,3.2052800869082647,7.319922149604655,3.205280065536499
239,1,0.0,5.117703201802249,3.1972755620221105,7.353256406779627,3.197275400161743
240,1,0.0,5.169067833202724,3.1893749242129092,7.38714897744178,3.1893749237060547
241,1,0.0,5.220418299527812,3.1815802085017397,7.420853970026622,3.1815803050994873
242,1,0.0,5.271209640292049,3.1738919474264633,7.454172522773644,3.173892021179199
243,1,0.0,5.322306232902854,3.1663109186147493,7.487800844188548,3.166311025619507
